timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762303763824072589,SimpleMarketMaker,294973,SELL,6775.25,1,0.00,2.17
1762303790624827373,SimpleMarketMaker,294973,BUY,6774.75,1,25.00,2.17
1762303791687984211,SimpleMarketMaker,294973,SELL,6775.25,1,0.00,2.17
1762303796716866109,SimpleMarketMaker,294973,BUY,6774.75,1,25.00,2.17
1762303808864711423,SimpleMarketMaker,294973,SELL,6774.00,1,0.00,2.17
1762303814275166427,SimpleMarketMaker,294973,BUY,6773.75,1,12.50,2.17
1762303815159426343,SimpleMarketMaker,294973,BUY,6773.25,1,0.00,2.17
1762303815910366561,SimpleMarketMaker,294973,SELL,6773.50,1,12.50,2.17
1762303817225285591,SimpleMarketMaker,294973,SELL,6773.75,1,0.00,2.17
1762303818026909269,SimpleMarketMaker,294973,BUY,6773.50,1,12.50,2.17
1762303821666662403,SimpleMarketMaker,294973,SELL,6774.00,1,0.00,2.17
1762303825899774011,SimpleMarketMaker,294973,BUY,6774.00,1,0.00,2.17
